2023-05-07 23:01:05,067 ERROR File: /home/twopercent/Загрузки/f_80664555c5d53e28 (1).csv || finam || Отсутствует соединение с интернетом
2023-05-07 23:04:13,196 WARNING File: /home/twopercent/Загрузки/f_80664555c5d53e28 (1).csv || finam || Не удалось добавить позицию № 1. Строка уже существует
2023-05-07 23:04:13,499 WARNING File: /home/twopercent/Загрузки/f_80664555c5d53e28 (1).csv || finam || Не удалось добавить позицию № 2. Строка уже существует
2023-05-07 23:04:13,806 WARNING File: /home/twopercent/Загрузки/f_80664555c5d53e28 (1).csv || finam || Не удалось добавить позицию № 3. Строка уже существует
2023-05-07 23:04:14,129 WARNING File: /home/twopercent/Загрузки/f_80664555c5d53e28 (1).csv || finam || Не удалось добавить позицию № 4. Строка уже существует
2023-05-07 23:04:14,430 WARNING File: /home/twopercent/Загрузки/f_80664555c5d53e28 (1).csv || finam || Не удалось добавить позицию № 5. Строка уже существует
2023-05-07 23:04:14,730 WARNING File: /home/twopercent/Загрузки/f_80664555c5d53e28 (1).csv || finam || Не удалось добавить позицию № 6. Строка уже существует
2023-05-07 23:04:15,034 WARNING File: /home/twopercent/Загрузки/f_80664555c5d53e28 (1).csv || finam || Не удалось добавить позицию № 7. Строка уже существует
2023-05-07 23:04:15,341 WARNING File: /home/twopercent/Загрузки/f_80664555c5d53e28 (1).csv || finam || Не удалось добавить позицию № 8. Строка уже существует
2023-05-07 23:04:15,650 WARNING File: /home/twopercent/Загрузки/f_80664555c5d53e28 (1).csv || finam || Не удалось добавить позицию № 9. Строка уже существует
2023-05-07 23:04:15,955 WARNING File: /home/twopercent/Загрузки/f_80664555c5d53e28 (1).csv || finam || Не удалось добавить позицию № 10. Строка уже существует
2023-05-07 23:04:16,262 WARNING File: /home/twopercent/Загрузки/f_80664555c5d53e28 (1).csv || finam || Не удалось добавить позицию № 11. Строка уже существует
2023-05-07 23:04:16,571 WARNING File: /home/twopercent/Загрузки/f_80664555c5d53e28 (1).csv || finam || Не удалось добавить позицию № 12. Строка уже существует
2023-05-07 23:04:16,955 WARNING File: /home/twopercent/Загрузки/f_80664555c5d53e28 (1).csv || finam || Не удалось добавить позицию № 13. Строка уже существует
2023-05-07 23:04:17,472 WARNING File: /home/twopercent/Загрузки/f_80664555c5d53e28 (1).csv || finam || Не удалось добавить позицию № 14. Строка уже существует
2023-05-07 23:04:18,187 WARNING File: /home/twopercent/Загрузки/f_80664555c5d53e28 (1).csv || finam || Не удалось добавить позицию № 15. Строка уже существует
2023-05-07 23:04:18,721 WARNING File: /home/twopercent/Загрузки/f_80664555c5d53e28 (1).csv || finam || Не удалось добавить позицию № 16. Строка уже существует
2023-05-07 23:04:19,465 WARNING File: /home/twopercent/Загрузки/f_80664555c5d53e28 (1).csv || finam || Не удалось добавить позицию № 17. Строка уже существует
2023-05-07 23:04:19,949 WARNING File: /home/twopercent/Загрузки/f_80664555c5d53e28 (1).csv || finam || Не удалось добавить позицию № 18. Строка уже существует
2023-05-07 23:04:20,436 WARNING File: /home/twopercent/Загрузки/f_80664555c5d53e28 (1).csv || finam || Не удалось добавить позицию № 19. Строка уже существует
2023-05-07 23:04:21,066 WARNING File: /home/twopercent/Загрузки/f_80664555c5d53e28 (1).csv || finam || Не удалось добавить позицию № 20. Строка уже существует
2023-05-07 23:04:21,620 WARNING File: /home/twopercent/Загрузки/f_80664555c5d53e28 (1).csv || finam || Не удалось добавить позицию № 21. Строка уже существует
2023-05-07 23:04:22,232 WARNING File: /home/twopercent/Загрузки/f_80664555c5d53e28 (1).csv || finam || Не удалось добавить позицию № 22. Строка уже существует
2023-05-07 23:04:22,646 WARNING File: /home/twopercent/Загрузки/f_80664555c5d53e28 (1).csv || finam || Не удалось добавить позицию № 23. Строка уже существует
2023-05-07 23:04:23,053 WARNING File: /home/twopercent/Загрузки/f_80664555c5d53e28 (1).csv || finam || Не удалось добавить позицию № 24. Строка уже существует
2023-05-07 23:04:23,470 WARNING File: /home/twopercent/Загрузки/f_80664555c5d53e28 (1).csv || finam || Не удалось добавить позицию № 25. Строка уже существует
2023-05-07 23:04:23,972 WARNING File: /home/twopercent/Загрузки/f_80664555c5d53e28 (1).csv || finam || Не удалось добавить позицию № 26. Строка уже существует
2023-05-07 23:04:24,591 WARNING File: /home/twopercent/Загрузки/f_80664555c5d53e28 (1).csv || finam || Не удалось добавить позицию № 27. Строка уже существует
2023-05-07 23:04:25,092 WARNING File: /home/twopercent/Загрузки/f_80664555c5d53e28 (1).csv || finam || Не удалось добавить позицию № 28. Строка уже существует
2023-05-07 23:04:25,501 WARNING File: /home/twopercent/Загрузки/f_80664555c5d53e28 (1).csv || finam || Не удалось добавить позицию № 29. Строка уже существует
2023-05-07 23:04:25,910 WARNING File: /home/twopercent/Загрузки/f_80664555c5d53e28 (1).csv || finam || Не удалось добавить позицию № 30. Строка уже существует
2023-05-07 23:04:26,320 WARNING File: /home/twopercent/Загрузки/f_80664555c5d53e28 (1).csv || finam || Не удалось добавить позицию № 31. Строка уже существует
2023-05-07 23:04:26,870 WARNING File: /home/twopercent/Загрузки/f_80664555c5d53e28 (1).csv || finam || Не удалось добавить позицию № 32. Строка уже существует
2023-05-07 23:04:27,476 WARNING File: /home/twopercent/Загрузки/f_80664555c5d53e28 (1).csv || finam || Не удалось добавить позицию № 33. Строка уже существует
2023-05-07 23:04:28,193 WARNING File: /home/twopercent/Загрузки/f_80664555c5d53e28 (1).csv || finam || Не удалось добавить позицию № 34. Строка уже существует
2023-05-07 23:04:28,700 WARNING File: /home/twopercent/Загрузки/f_80664555c5d53e28 (1).csv || finam || Не удалось добавить позицию № 35. Строка уже существует
2023-05-07 23:04:29,319 WARNING File: /home/twopercent/Загрузки/f_80664555c5d53e28 (1).csv || finam || Не удалось добавить позицию № 36. Строка уже существует
2023-05-07 23:04:29,833 WARNING File: /home/twopercent/Загрузки/f_80664555c5d53e28 (1).csv || finam || Не удалось добавить позицию № 37. Строка уже существует
2023-05-07 23:04:30,544 WARNING File: /home/twopercent/Загрузки/f_80664555c5d53e28 (1).csv || finam || Не удалось добавить позицию № 38. Строка уже существует
2023-05-07 23:04:31,060 WARNING File: /home/twopercent/Загрузки/f_80664555c5d53e28 (1).csv || finam || Не удалось добавить позицию № 39. Строка уже существует
2023-05-07 23:04:31,591 WARNING File: /home/twopercent/Загрузки/f_80664555c5d53e28 (1).csv || finam || Не удалось добавить позицию № 40. Строка уже существует
2023-05-07 23:04:32,307 WARNING File: /home/twopercent/Загрузки/f_80664555c5d53e28 (1).csv || finam || Не удалось добавить позицию № 41. Строка уже существует
2023-05-07 23:04:32,616 WARNING File: /home/twopercent/Загрузки/f_80664555c5d53e28 (1).csv || finam || Не удалось добавить позицию № 42. Строка уже существует
2023-05-07 23:04:32,923 WARNING File: /home/twopercent/Загрузки/f_80664555c5d53e28 (1).csv || finam || Не удалось добавить позицию № 43. Строка уже существует
2023-05-07 23:04:33,221 WARNING File: /home/twopercent/Загрузки/f_80664555c5d53e28 (1).csv || finam || Не удалось добавить позицию № 44. Строка уже существует
2023-05-07 23:04:33,523 WARNING File: /home/twopercent/Загрузки/f_80664555c5d53e28 (1).csv || finam || Не удалось добавить позицию № 45. Строка уже существует
2023-05-07 23:04:33,832 WARNING File: /home/twopercent/Загрузки/f_80664555c5d53e28 (1).csv || finam || Не удалось добавить позицию № 46. Строка уже существует
2023-05-07 23:04:34,143 WARNING File: /home/twopercent/Загрузки/f_80664555c5d53e28 (1).csv || finam || Не удалось добавить позицию № 47. Строка уже существует
2023-05-07 23:04:34,446 WARNING File: /home/twopercent/Загрузки/f_80664555c5d53e28 (1).csv || finam || Не удалось добавить позицию № 48. Строка уже существует
